INFO:root:{'target': 0.9785693599768317, 'params': {'cache_size': 200, 'coef0': 0.0, 'degree': 3, 'gamma': 0.001, 'kernel': 'rbf', 'max_iter': -1, 'nu': 0.05, 'shrinking': True, 'tol': 0.001, 'verbose': False}, 'datetime': '2025-05-16 00:14:1747365296'}
INFO:root:{'target': 0.9747584018462426, 'params': {'cache_size': 200, 'coef0': 0.0, 'degree': 3, 'gamma': 0.001, 'kernel': 'rbf', 'max_iter': -1, 'nu': 0.05, 'shrinking': True, 'tol': 0.0001, 'verbose': False}, 'datetime': '2025-05-16 00:14:1747365296'}
INFO:root:{'target': 0.9795622553993333, 'params': {'cache_size': 200, 'coef0': 0.0, 'degree': 3, 'gamma': 0.001, 'kernel': 'rbf', 'max_iter': -1, 'nu': 0.05, 'shrinking': True, 'tol': 0.0001, 'verbose': False}, 'datetime': '2025-05-16 00:14:1747365296'}
INFO:root:{'target': 0.9819819819819819, 'params': {'cache_size': 200, 'coef0': 0.0, 'degree': 3, 'gamma': 0.001, 'kernel': 'rbf', 'max_iter': -1, 'nu': 0.05, 'shrinking': True, 'tol': 0.0001, 'verbose': False}, 'datetime': '2025-05-16 00:14:1747365296'}
INFO:root:{'target': 0.9787110789283128, 'params': {'cache_size': 200, 'coef0': 0.0, 'degree': 3, 'gamma': 0.001, 'kernel': 'rbf', 'max_iter': -1, 'nu': 0.05, 'shrinking': True, 'tol': 0.0001, 'verbose': False}, 'datetime': '2025-05-16 00:14:1747365296'}
INFO:root:{'target': 0.9747584018462426, 'params': {'cache_size': 200, 'coef0': 0.0, 'degree': 3, 'gamma': 0.001, 'kernel': 'rbf', 'max_iter': -1, 'nu': 0.05, 'shrinking': True, 'tol': 1e-05, 'verbose': False}, 'datetime': '2025-05-16 00:14:1747365297'}
INFO:root:{'target': 0.979704262104958, 'params': {'cache_size': 200, 'coef0': 0.0, 'degree': 3, 'gamma': 0.001, 'kernel': 'rbf', 'max_iter': -1, 'nu': 0.05, 'shrinking': True, 'tol': 1e-05, 'verbose': False}, 'datetime': '2025-05-16 00:14:1747365297'}
INFO:root:{'target': 0.9819819819819819, 'params': {'cache_size': 200, 'coef0': 0.0, 'degree': 3, 'gamma': 0.001, 'kernel': 'rbf', 'max_iter': -1, 'nu': 0.05, 'shrinking': True, 'tol': 1e-05, 'verbose': False}, 'datetime': '2025-05-16 00:14:1747365297'}
INFO:root:{'target': 0.9784276820616765, 'params': {'cache_size': 200, 'coef0': 0.0, 'degree': 3, 'gamma': 0.001, 'kernel': 'rbf', 'max_iter': -1, 'nu': 0.05, 'shrinking': True, 'tol': 1e-05, 'verbose': False}, 'datetime': '2025-05-16 00:14:1747365297'}
INFO:root:{'target': 0.9713957165444875, 'params': {'cache_size': 200, 'coef0': 0.0, 'degree': 3, 'gamma': 0.001, 'kernel': 'rbf', 'max_iter': -1, 'nu': 0.1, 'shrinking': True, 'tol': 0.1, 'verbose': False}, 'datetime': '2025-05-16 00:14:1747365297'}
INFO:root:{'target': 0.9753211141578871, 'params': {'cache_size': 200, 'coef0': 0.0, 'degree': 3, 'gamma': 0.001, 'kernel': 'rbf', 'max_iter': -1, 'nu': 0.1, 'shrinking': True, 'tol': 0.1, 'verbose': False}, 'datetime': '2025-05-16 00:14:1747365298'}
INFO:root:{'target': 0.9785693599768317, 'params': {'cache_size': 200, 'coef0': 0.0, 'degree': 3, 'gamma': 0.001, 'kernel': 'rbf', 'max_iter': -1, 'nu': 0.1, 'shrinking': True, 'tol': 0.1, 'verbose': False}, 'datetime': '2025-05-16 00:14:1747365298'}
INFO:root:{'target': 0.974196338474845, 'params': {'cache_size': 200, 'coef0': 0.0, 'degree': 3, 'gamma': 0.001, 'kernel': 'rbf', 'max_iter': -1, 'nu': 0.1, 'shrinking': True, 'tol': 0.1, 'verbose': False}, 'datetime': '2025-05-16 00:14:1747365298'}
