2025-03-23 23:33:16,692 [INFO] {'target': 0.9550593555681176, 'params': {'gamma': 0.001, 'nu': 0.5, 'tol': 0.0001}, 'datetime': '2025-03-23 23:33:1742783596'}
2025-03-23 23:33:17,553 [INFO] {'target': 0.9541154877876606, 'params': {'gamma': 0.001, 'nu': 0.5, 'tol': 0.0001}, 'datetime': '2025-03-23 23:33:1742783597'}
2025-03-23 23:33:18,463 [INFO] {'target': 0.951830985915493, 'params': {'gamma': 0.001, 'nu': 0.5, 'tol': 1e-05}, 'datetime': '2025-03-23 23:33:1742783598'}
2025-03-23 23:33:19,287 [INFO] {'target': 0.9529046813310773, 'params': {'gamma': 0.001, 'nu': 0.5, 'tol': 1e-05}, 'datetime': '2025-03-23 23:33:1742783599'}
2025-03-23 23:33:20,187 [INFO] {'target': 0.9550593555681176, 'params': {'gamma': 0.001, 'nu': 0.5, 'tol': 1e-05}, 'datetime': '2025-03-23 23:33:1742783600'}
2025-03-23 23:33:20,983 [INFO] {'target': 0.9541154877876606, 'params': {'gamma': 0.001, 'nu': 0.5, 'tol': 1e-05}, 'datetime': '2025-03-23 23:33:1742783600'}
2025-03-23 23:33:21,105 [INFO] {'target': 0.9736349229217692, 'params': {'gamma': 0.01, 'nu': 0.01, 'tol': 0.01}, 'datetime': '2025-03-23 23:33:1742783601'}
2025-03-23 23:33:21,220 [INFO] {'target': 0.9747584018462426, 'params': {'gamma': 0.01, 'nu': 0.01, 'tol': 0.01}, 'datetime': '2025-03-23 23:33:1742783601'}
2025-03-23 23:33:21,335 [INFO] {'target': 0.980130529369108, 'params': {'gamma': 0.01, 'nu': 0.01, 'tol': 0.01}, 'datetime': '2025-03-23 23:33:1742783601'}
2025-03-23 23:33:21,445 [INFO] {'target': 0.9763074255995378, 'params': {'gamma': 0.01, 'nu': 0.01, 'tol': 0.01}, 'datetime': '2025-03-23 23:33:1742783601'}
2025-03-23 23:33:21,595 [INFO] {'target': 0.9753211141578871, 'params': {'gamma': 0.01, 'nu': 0.01, 'tol': 0.001}, 'datetime': '2025-03-23 23:33:1742783601'}
2025-03-23 23:33:21,734 [INFO] {'target': 0.9780028943560057, 'params': {'gamma': 0.01, 'nu': 0.01, 'tol': 0.001}, 'datetime': '2025-03-23 23:33:1742783601'}
2025-03-23 23:33:21,882 [INFO] {'target': 0.9825530677522536, 'params': {'gamma': 0.01, 'nu': 0.01, 'tol': 0.001}, 'datetime': '2025-03-23 23:33:1742783601'}
2025-03-23 23:33:22,025 [INFO] {'target': 0.9785693599768317, 'params': {'gamma': 0.01, 'nu': 0.01, 'tol': 0.001}, 'datetime': '2025-03-23 23:33:1742783602'}
2025-03-23 23:33:22,205 [INFO] {'target': 0.9754618937644342, 'params': {'gamma': 0.01, 'nu': 0.01, 'tol': 0.0001}, 'datetime': '2025-03-23 23:33:1742783602'}
2025-03-23 23:33:22,365 [INFO] {'target': 0.9777199074074074, 'params': {'gamma': 0.01, 'nu': 0.01, 'tol': 0.0001}, 'datetime': '2025-03-23 23:33:1742783602'}
2025-03-23 23:33:22,534 [INFO] {'target': 0.9814115596863201, 'params': {'gamma': 0.01, 'nu': 0.01, 'tol': 0.0001}, 'datetime': '2025-03-23 23:33:1742783602'}
2025-03-23 23:33:22,685 [INFO] {'target': 0.979278365454282, 'params': {'gamma': 0.01, 'nu': 0.01, 'tol': 0.0001}, 'datetime': '2025-03-23 23:33:1742783602'}
2025-03-23 23:33:22,837 [INFO] {'target': 0.9750396768143125, 'params': {'gamma': 0.01, 'nu': 0.01, 'tol': 1e-05}, 'datetime': '2025-03-23 23:33:1742783602'}
2025-03-23 23:33:23,015 [INFO] {'target': 0.9781444492690693, 'params': {'gamma': 0.01, 'nu': 0.01, 'tol': 1e-05}, 'datetime': '2025-03-23 23:33:1742783603'}
2025-03-23 23:33:23,253 [INFO] {'target': 0.9816966879721093, 'params': {'gamma': 0.01, 'nu': 0.01, 'tol': 1e-05}, 'datetime': '2025-03-23 23:33:1742783603'}
2025-03-23 23:33:23,435 [INFO] {'target': 0.978286045165026, 'params': {'gamma': 0.01, 'nu': 0.01, 'tol': 1e-05}, 'datetime': '2025-03-23 23:33:1742783603'}
2025-03-23 23:33:23,601 [INFO] {'target': 0.9739155497910361, 'params': {'gamma': 0.01, 'nu': 0.05, 'tol': 0.01}, 'datetime': '2025-03-23 23:33:1742783603'}
2025-03-23 23:33:23,780 [INFO] {'target': 0.9774370841770321, 'params': {'gamma': 0.01, 'nu': 0.05, 'tol': 0.01}, 'datetime': '2025-03-23 23:33:1742783603'}
2025-03-23 23:33:23,962 [INFO] {'target': 0.9816966879721093, 'params': {'gamma': 0.01, 'nu': 0.05, 'tol': 0.01}, 'datetime': '2025-03-23 23:33:1742783603'}
2025-03-23 23:33:24,139 [INFO] {'target': 0.9777199074074074, 'params': {'gamma': 0.01, 'nu': 0.05, 'tol': 0.01}, 'datetime': '2025-03-23 23:33:1742783604'}
2025-03-23 23:33:24,292 [INFO] {'target': 0.974477289113194, 'params': {'gamma': 0.01, 'nu': 0.05, 'tol': 0.001}, 'datetime': '2025-03-23 23:33:1742783604'}
2025-03-23 23:33:24,440 [INFO] {'target': 0.9775784753363229, 'params': {'gamma': 0.01, 'nu': 0.05, 'tol': 0.001}, 'datetime': '2025-03-23 23:33:1742783604'}
2025-03-23 23:33:24,609 [INFO] {'target': 0.9814115596863201, 'params': {'gamma': 0.01, 'nu': 0.05, 'tol': 0.001}, 'datetime': '2025-03-23 23:33:1742783604'}
2025-03-23 23:33:24,758 [INFO] {'target': 0.9781444492690693, 'params': {'gamma': 0.01, 'nu': 0.05, 'tol': 0.001}, 'datetime': '2025-03-23 23:33:1742783604'}
2025-03-23 23:33:24,933 [INFO] {'target': 0.974477289113194, 'params': {'gamma': 0.01, 'nu': 0.05, 'tol': 0.0001}, 'datetime': '2025-03-23 23:33:1742783604'}
2025-03-23 23:33:25,119 [INFO] {'target': 0.9777199074074074, 'params': {'gamma': 0.01, 'nu': 0.05, 'tol': 0.0001}, 'datetime': '2025-03-23 23:33:1742783605'}
2025-03-23 23:33:25,300 [INFO] {'target': 0.9811265969802555, 'params': {'gamma': 0.01, 'nu': 0.05, 'tol': 0.0001}, 'datetime': '2025-03-23 23:33:1742783605'}
2025-03-23 23:33:25,588 [INFO] {'target': 0.9775784753363229, 'params': {'gamma': 0.01, 'nu': 0.05, 'tol': 0.0001}, 'datetime': '2025-03-23 23:33:1742783605'}
2025-03-23 23:33:25,869 [INFO] {'target': 0.9743367935409458, 'params': {'gamma': 0.01, 'nu': 0.05, 'tol': 1e-05}, 'datetime': '2025-03-23 23:33:1742783605'}
2025-03-23 23:33:26,098 [INFO] {'target': 0.9775784753363229, 'params': {'gamma': 0.01, 'nu': 0.05, 'tol': 1e-05}, 'datetime': '2025-03-23 23:33:1742783606'}
2025-03-23 23:33:26,355 [INFO] {'target': 0.9809841776745536, 'params': {'gamma': 0.01, 'nu': 0.05, 'tol': 1e-05}, 'datetime': '2025-03-23 23:33:1742783606'}
2025-03-23 23:33:26,578 [INFO] {'target': 0.9781444492690693, 'params': {'gamma': 0.01, 'nu': 0.05, 'tol': 1e-05}, 'datetime': '2025-03-23 23:33:1742783606'}
2025-03-23 23:33:26,881 [INFO] {'target': 0.9722342109049058, 'params': {'gamma': 0.01, 'nu': 0.1, 'tol': 0.01}, 'datetime': '2025-03-23 23:33:1742783606'}
2025-03-23 23:33:27,232 [INFO] {'target': 0.9740559238973767, 'params': {'gamma': 0.01, 'nu': 0.1, 'tol': 0.01}, 'datetime': '2025-03-23 23:33:1742783607'}
2025-03-23 23:33:27,562 [INFO] {'target': 0.9784276820616765, 'params': {'gamma': 0.01, 'nu': 0.1, 'tol': 0.01}, 'datetime': '2025-03-23 23:33:1742783607'}
2025-03-23 23:33:27,883 [INFO] {'target': 0.9743367935409458, 'params': {'gamma': 0.01, 'nu': 0.1, 'tol': 0.01}, 'datetime': '2025-03-23 23:33:1742783607'}
2025-03-23 23:33:28,262 [INFO] {'target': 0.9722342109049058, 'params': {'gamma': 0.01, 'nu': 0.1, 'tol': 0.001}, 'datetime': '2025-03-23 23:33:1742783608'}
2025-03-23 23:33:28,712 [INFO] {'target': 0.9746178252091146, 'params': {'gamma': 0.01, 'nu': 0.1, 'tol': 0.001}, 'datetime': '2025-03-23 23:33:1742783608'}
2025-03-23 23:33:29,241 [INFO] {'target': 0.9781444492690693, 'params': {'gamma': 0.01, 'nu': 0.1, 'tol': 0.001}, 'datetime': '2025-03-23 23:33:1742783609'}
2025-03-23 23:33:29,639 [INFO] {'target': 0.974196338474845, 'params': {'gamma': 0.01, 'nu': 0.1, 'tol': 0.001}, 'datetime': '2025-03-23 23:33:1742783609'}
2025-03-23 23:33:30,184 [INFO] {'target': 0.9723741007194244, 'params': {'gamma': 0.01, 'nu': 0.1, 'tol': 0.0001}, 'datetime': '2025-03-23 23:33:1742783610'}
2025-03-23 23:33:30,535 [INFO] {'target': 0.974196338474845, 'params': {'gamma': 0.01, 'nu': 0.1, 'tol': 0.0001}, 'datetime': '2025-03-23 23:33:1742783610'}
2025-03-23 23:33:30,907 [INFO] {'target': 0.9781444492690693, 'params': {'gamma': 0.01, 'nu': 0.1, 'tol': 0.0001}, 'datetime': '2025-03-23 23:33:1742783610'}
