2025-03-17 00:45:16,915 [INFO] {'target': 0.9650149935741825, 'params': {'gamma': 0.1, 'nu': 0.05, 'tol': 0.1}, 'datetime': '2025-03-17 00:45:1742183116'}
2025-03-17 00:45:17,244 [INFO] {'target': 0.9651528134818623, 'params': {'gamma': 0.1, 'nu': 0.05, 'tol': 0.1}, 'datetime': '2025-03-17 00:45:1742183117'}
2025-03-17 00:45:17,558 [INFO] {'target': 0.9702799712849964, 'params': {'gamma': 0.1, 'nu': 0.05, 'tol': 0.1}, 'datetime': '2025-03-17 00:45:1742183117'}
2025-03-17 00:45:17,866 [INFO] {'target': 0.9652906727610341, 'params': {'gamma': 0.1, 'nu': 0.05, 'tol': 0.1}, 'datetime': '2025-03-17 00:45:1742183117'}
2025-03-17 00:45:18,855 [INFO] {'target': 0.9507597073719752, 'params': {'gamma': 0.01, 'nu': 0.5, 'tol': 1e-05}, 'datetime': '2025-03-17 00:45:1742183118'}
2025-03-17 00:45:19,788 [INFO] {'target': 0.9537115438893593, 'params': {'gamma': 0.01, 'nu': 0.5, 'tol': 1e-05}, 'datetime': '2025-03-17 00:45:1742183119'}
2025-03-17 00:45:20,803 [INFO] {'target': 0.956952704616256, 'params': {'gamma': 0.01, 'nu': 0.5, 'tol': 1e-05}, 'datetime': '2025-03-17 00:45:1742183120'}
2025-03-17 00:45:21,823 [INFO] {'target': 0.9547894885560892, 'params': {'gamma': 0.01, 'nu': 0.5, 'tol': 1e-05}, 'datetime': '2025-03-17 00:45:1742183121'}
2025-03-17 00:45:24,030 [INFO] {'target': 0.956410982168129, 'params': {'gamma': 1, 'nu': 0.1, 'tol': 0.001}, 'datetime': '2025-03-17 00:45:1742183124'}
2025-03-17 00:45:26,292 [INFO] {'target': 0.9593980692788189, 'params': {'gamma': 1, 'nu': 0.1, 'tol': 0.001}, 'datetime': '2025-03-17 00:45:1742183126'}
2025-03-17 00:45:28,833 [INFO] {'target': 0.956952704616256, 'params': {'gamma': 1, 'nu': 0.1, 'tol': 0.001}, 'datetime': '2025-03-17 00:45:1742183128'}
2025-03-17 00:45:31,144 [INFO] {'target': 0.956410982168129, 'params': {'gamma': 1, 'nu': 0.1, 'tol': 0.001}, 'datetime': '2025-03-17 00:45:1742183131'}
2025-03-17 00:45:32,144 [INFO] {'target': 0.9515629400168967, 'params': {'gamma': 0.001, 'nu': 0.5, 'tol': 0.1}, 'datetime': '2025-03-17 00:45:1742183132'}
2025-03-17 00:45:33,128 [INFO] {'target': 0.9527703369519245, 'params': {'gamma': 0.001, 'nu': 0.5, 'tol': 0.1}, 'datetime': '2025-03-17 00:45:1742183133'}
2025-03-17 00:45:34,060 [INFO] {'target': 0.9550593555681176, 'params': {'gamma': 0.001, 'nu': 0.5, 'tol': 0.1}, 'datetime': '2025-03-17 00:45:1742183134'}
2025-03-17 00:45:35,092 [INFO] {'target': 0.9541154877876606, 'params': {'gamma': 0.001, 'nu': 0.5, 'tol': 0.1}, 'datetime': '2025-03-17 00:45:1742183135'}
2025-03-17 00:45:37,539 [INFO] {'target': 0.9525017618040874, 'params': {'gamma': 1, 'nu': 0.05, 'tol': 0.001}, 'datetime': '2025-03-17 00:45:1742183137'}
2025-03-17 00:45:39,770 [INFO] {'target': 0.9549244029956196, 'params': {'gamma': 1, 'nu': 0.05, 'tol': 0.001}, 'datetime': '2025-03-17 00:45:1742183139'}
2025-03-17 00:45:41,876 [INFO] {'target': 0.9554644422451577, 'params': {'gamma': 1, 'nu': 0.05, 'tol': 0.001}, 'datetime': '2025-03-17 00:45:1742183141'}
2025-03-17 00:45:43,758 [INFO] {'target': 0.9572237960339943, 'params': {'gamma': 1, 'nu': 0.05, 'tol': 0.001}, 'datetime': '2025-03-17 00:45:1742183143'}
2025-03-17 00:45:45,047 [INFO] {'target': 0.9516969440923814, 'params': {'gamma': 0.001, 'nu': 0.5, 'tol': 0.0001}, 'datetime': '2025-03-17 00:45:1742183145'}
2025-03-17 00:45:46,311 [INFO] {'target': 0.9529046813310773, 'params': {'gamma': 0.001, 'nu': 0.5, 'tol': 0.0001}, 'datetime': '2025-03-17 00:45:1742183146'}
2025-03-17 00:45:47,897 [INFO] {'target': 0.9550593555681176, 'params': {'gamma': 0.001, 'nu': 0.5, 'tol': 0.0001}, 'datetime': '2025-03-17 00:45:1742183147'}
2025-03-17 00:45:49,103 [INFO] {'target': 0.9541154877876606, 'params': {'gamma': 0.001, 'nu': 0.5, 'tol': 0.0001}, 'datetime': '2025-03-17 00:45:1742183149'}
2025-03-17 00:45:50,906 [INFO] {'target': 0.9538461538461539, 'params': {'gamma': 1, 'nu': 0.05, 'tol': 0.01}, 'datetime': '2025-03-17 00:45:1742183150'}
2025-03-17 00:45:52,570 [INFO] {'target': 0.9562756473751238, 'params': {'gamma': 1, 'nu': 0.05, 'tol': 0.01}, 'datetime': '2025-03-17 00:45:1742183152'}
2025-03-17 00:45:54,372 [INFO] {'target': 0.9568172164802492, 'params': {'gamma': 1, 'nu': 0.05, 'tol': 0.01}, 'datetime': '2025-03-17 00:45:1742183154'}
2025-03-17 00:45:56,303 [INFO] {'target': 0.9546546122333663, 'params': {'gamma': 1, 'nu': 0.05, 'tol': 0.01}, 'datetime': '2025-03-17 00:45:1742183156'}
2025-03-17 00:45:58,289 [INFO] {'target': 0.9531734837799718, 'params': {'gamma': 1, 'nu': 0.1, 'tol': 0.0001}, 'datetime': '2025-03-17 00:45:1742183158'}
2025-03-17 00:45:59,935 [INFO] {'target': 0.9554644422451577, 'params': {'gamma': 1, 'nu': 0.1, 'tol': 0.0001}, 'datetime': '2025-03-17 00:45:1742183159'}
2025-03-17 00:46:01,721 [INFO] {'target': 0.956952704616256, 'params': {'gamma': 1, 'nu': 0.1, 'tol': 0.0001}, 'datetime': '2025-03-17 00:46:1742183161'}
2025-03-17 00:46:03,945 [INFO] {'target': 0.9550593555681176, 'params': {'gamma': 1, 'nu': 0.1, 'tol': 0.0001}, 'datetime': '2025-03-17 00:46:1742183163'}
2025-03-17 00:46:05,691 [INFO] {'target': 0.9507597073719752, 'params': {'gamma': 1, 'nu': 0.5, 'tol': 1e-05}, 'datetime': '2025-03-17 00:46:1742183165'}
2025-03-17 00:46:07,349 [INFO] {'target': 0.9515629400168967, 'params': {'gamma': 1, 'nu': 0.5, 'tol': 1e-05}, 'datetime': '2025-03-17 00:46:1742183167'}
2025-03-17 00:46:08,900 [INFO] {'target': 0.9562756473751238, 'params': {'gamma': 1, 'nu': 0.5, 'tol': 1e-05}, 'datetime': '2025-03-17 00:46:1742183168'}
2025-03-17 00:46:10,708 [INFO] {'target': 0.9522333380301535, 'params': {'gamma': 1, 'nu': 0.5, 'tol': 1e-05}, 'datetime': '2025-03-17 00:46:1742183170'}
2025-03-17 00:46:11,930 [INFO] {'target': 0.960898620787715, 'params': {'gamma': 0.5, 'nu': 0.2, 'tol': 0.01}, 'datetime': '2025-03-17 00:46:1742183171'}
2025-03-17 00:46:13,145 [INFO] {'target': 0.9622668375338175, 'params': {'gamma': 0.5, 'nu': 0.2, 'tol': 0.01}, 'datetime': '2025-03-17 00:46:1742183173'}
