INFO:root:{'target': np.float64(0.9698622273249139), 'params': {'gamma': 0.1, 'nu': 0.1}}
INFO:root:{'target': np.float64(0.9715353651523865), 'params': {'gamma': 0.1, 'nu': 0.1}}
INFO:root:{'target': np.float64(0.9760254188330445), 'params': {'gamma': 0.1, 'nu': 0.1}}
INFO:root:{'target': np.float64(0.9726540011514104), 'params': {'gamma': 0.1, 'nu': 0.1}}
INFO:root:{'target': np.float64(0.9617190835349366), 'params': {'gamma': 0.25, 'nu': 0.3}}
INFO:root:{'target': np.float64(0.9619928825622776), 'params': {'gamma': 0.25, 'nu': 0.3}}
INFO:root:{'target': np.float64(0.9676403207331042), 'params': {'gamma': 0.25, 'nu': 0.3}}
INFO:root:{'target': np.float64(0.9651528134818623), 'params': {'gamma': 0.25, 'nu': 0.3}}
INFO:root:{'target': np.float64(0.96694806123909), 'params': {'gamma': 0.25, 'nu': 0.05}}
INFO:root:{'target': np.float64(0.9666714347017594), 'params': {'gamma': 0.25, 'nu': 0.05}}
INFO:root:{'target': np.float64(0.9739155497910361), 'params': {'gamma': 0.25, 'nu': 0.05}}
INFO:root:{'target': np.float64(0.9701406833189778), 'params': {'gamma': 0.25, 'nu': 0.05}}
INFO:root:{'target': np.float64(0.9768719283029778), 'params': {'gamma': 0.001, 'nu': 0.01}}
INFO:root:{'target': np.float64(0.9838404425680594), 'params': {'gamma': 0.001, 'nu': 0.01}}
INFO:root:{'target': np.float64(0.9847005682646073), 'params': {'gamma': 0.001, 'nu': 0.01}}
INFO:root:{'target': np.float64(0.9811265969802555), 'params': {'gamma': 0.001, 'nu': 0.01}}
INFO:root:{'target': np.float64(0.9488907610221847), 'params': {'gamma': 1, 'nu': 0.025}}
INFO:root:{'target': np.float64(0.951830985915493), 'params': {'gamma': 1, 'nu': 0.025}}
INFO:root:{'target': np.float64(0.9550593555681176), 'params': {'gamma': 1, 'nu': 0.025}}
INFO:root:{'target': np.float64(0.9558698727015559), 'params': {'gamma': 1, 'nu': 0.025}}
INFO:root:{'target': np.float64(0.9640513552068474), 'params': {'gamma': 0.25, 'nu': 0.2}}
INFO:root:{'target': np.float64(0.9652906727610341), 'params': {'gamma': 0.25, 'nu': 0.2}}
INFO:root:{'target': np.float64(0.9719545519919459), 'params': {'gamma': 0.25, 'nu': 0.2}}
INFO:root:{'target': np.float64(0.9677788915938709), 'params': {'gamma': 0.25, 'nu': 0.2}}
INFO:root:{'target': np.float64(0.9613086770981508), 'params': {'gamma': 0.001, 'nu': 0.3}}
INFO:root:{'target': np.float64(0.9637763833428409), 'params': {'gamma': 0.001, 'nu': 0.3}}
INFO:root:{'target': np.float64(0.96694806123909), 'params': {'gamma': 0.001, 'nu': 0.3}}
INFO:root:{'target': np.float64(0.9640513552068474), 'params': {'gamma': 0.001, 'nu': 0.3}}
INFO:root:{'target': np.float64(0.9654285714285714), 'params': {'gamma': 0.25, 'nu': 0.025}}
INFO:root:{'target': np.float64(0.9686111509244661), 'params': {'gamma': 0.25, 'nu': 0.025}}
INFO:root:{'target': np.float64(0.974477289113194), 'params': {'gamma': 0.25, 'nu': 0.025}}
INFO:root:{'target': np.float64(0.9719545519919459), 'params': {'gamma': 0.25, 'nu': 0.025}}
INFO:root:{'target': np.float64(0.9116094986807388), 'params': {'gamma': 0.01, 'nu': 0.5}}
INFO:root:{'target': np.float64(0.9110085695451549), 'params': {'gamma': 0.01, 'nu': 0.5}}
INFO:root:{'target': np.float64(0.9143840148206961), 'params': {'gamma': 0.01, 'nu': 0.5}}
INFO:root:{'target': np.float64(0.9125726360274696), 'params': {'gamma': 0.01, 'nu': 0.5}}
INFO:root:{'target': np.float64(0.9210877099440149), 'params': {'gamma': 1, 'nu': 0.1}}
INFO:root:{'target': np.float64(0.9170537491705375), 'params': {'gamma': 1, 'nu': 0.1}}
INFO:root:{'target': np.float64(0.9218249733191035), 'params': {'gamma': 1, 'nu': 0.1}}
INFO:root:{'target': np.float64(0.9203516249334044), 'params': {'gamma': 1, 'nu': 0.1}}
INFO:root:{'target': np.float64(0.9099288912299184), 'params': {'gamma': 1, 'nu': 0.3}}
INFO:root:{'target': np.float64(0.9152317880794701), 'params': {'gamma': 1, 'nu': 0.3}}
