INFO:root:{'target': 0.9538461538461539, 'params': {'gamma': 1, 'nu': 0.5}}
INFO:root:{'target': 0.9514289736730959, 'params': {'gamma': 1, 'nu': 0.5}}
INFO:root:{'target': 0.9609233764427757, 'params': {'gamma': 0.001, 'nu': 0.01}}
INFO:root:{'target': 0.961190708026151, 'params': {'gamma': 0.001, 'nu': 0.01}}
INFO:root:{'target': 0.9615919844141386, 'params': {'gamma': 0.001, 'nu': 0.01}}
INFO:root:{'target': 0.9627978263898564, 'params': {'gamma': 0.001, 'nu': 0.01}}
INFO:root:{'target': 0.9575942350332595, 'params': {'gamma': 0.001, 'nu': 0.05}}
INFO:root:{'target': 0.956931172967733, 'params': {'gamma': 0.001, 'nu': 0.05}}
INFO:root:{'target': 0.9601222731693762, 'params': {'gamma': 0.001, 'nu': 0.05}}
INFO:root:{'target': 0.9601222731693762, 'params': {'gamma': 0.001, 'nu': 0.05}}
INFO:root:{'target': 0.9521840981121675, 'params': {'gamma': 0.001, 'nu': 0.1}}
INFO:root:{'target': 0.9506121887467327, 'params': {'gamma': 0.001, 'nu': 0.1}}
INFO:root:{'target': 0.9523153252480706, 'params': {'gamma': 0.001, 'nu': 0.1}}
INFO:root:{'target': 0.9534979991720712, 'params': {'gamma': 0.001, 'nu': 0.1}}
INFO:root:{'target': 0.9429585152838428, 'params': {'gamma': 0.001, 'nu': 0.2}}
INFO:root:{'target': 0.9398803046789989, 'params': {'gamma': 0.001, 'nu': 0.2}}
INFO:root:{'target': 0.94141689373297, 'params': {'gamma': 0.001, 'nu': 0.2}}
INFO:root:{'target': 0.9424440807419531, 'params': {'gamma': 0.001, 'nu': 0.2}}
INFO:root:{'target': 0.9318948078219824, 'params': {'gamma': 0.001, 'nu': 0.3}}
INFO:root:{'target': 0.930138645847355, 'params': {'gamma': 0.001, 'nu': 0.3}}
INFO:root:{'target': 0.9316435216394768, 'params': {'gamma': 0.001, 'nu': 0.3}}
INFO:root:{'target': 0.933909987836194, 'params': {'gamma': 0.001, 'nu': 0.3}}
INFO:root:{'target': 0.9140211640211641, 'params': {'gamma': 0.001, 'nu': 0.5}}
INFO:root:{'target': 0.9094498552250593, 'params': {'gamma': 0.001, 'nu': 0.5}}
INFO:root:{'target': 0.9116094986807388, 'params': {'gamma': 0.001, 'nu': 0.5}}
INFO:root:{'target': 0.9139002777410395, 'params': {'gamma': 0.001, 'nu': 0.5}}
INFO:root:{'target': 0.9549474847982311, 'params': {'gamma': 0.01, 'nu': 0.01}}
INFO:root:{'target': 0.9553435642195492, 'params': {'gamma': 0.01, 'nu': 0.01}}
INFO:root:{'target': 0.9554756637168141, 'params': {'gamma': 0.01, 'nu': 0.01}}
INFO:root:{'target': 0.9582582166135072, 'params': {'gamma': 0.01, 'nu': 0.01}}
INFO:root:{'target': 0.9553435642195492, 'params': {'gamma': 0.01, 'nu': 0.05}}
INFO:root:{'target': 0.9542880817566635, 'params': {'gamma': 0.01, 'nu': 0.05}}
INFO:root:{'target': 0.9566662051779039, 'params': {'gamma': 0.01, 'nu': 0.05}}
INFO:root:{'target': 0.957461549120133, 'params': {'gamma': 0.01, 'nu': 0.05}}
INFO:root:{'target': 0.9521840981121675, 'params': {'gamma': 0.01, 'nu': 0.1}}
INFO:root:{'target': 0.9513974941484236, 'params': {'gamma': 0.01, 'nu': 0.1}}
INFO:root:{'target': 0.9529720038615364, 'params': {'gamma': 0.01, 'nu': 0.1}}
INFO:root:{'target': 0.9521840981121675, 'params': {'gamma': 0.01, 'nu': 0.1}}
INFO:root:{'target': 0.9406479716852709, 'params': {'gamma': 0.01, 'nu': 0.2}}
INFO:root:{'target': 0.9392415386706539, 'params': {'gamma': 0.01, 'nu': 0.2}}
INFO:root:{'target': 0.9419302071973827, 'params': {'gamma': 0.01, 'nu': 0.2}}
